"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Stealing Hyperparameters in Machine Learning","B. Wang; N. Z. Gong","ECE Department, Iowa State University; ECE Department, Iowa State University","2018 IEEE Symposium on Security and Privacy (SP)","26 Jul 2018","2018","","","36","52","Hyperparameters are critical in machine learning, as different hyperparameters often result in models with significantly different performance. Hyperparameters may be deemed confidential because of their commercial value and the confidentiality of the proprietary algorithms that the learner uses to learn them. In this work, we propose attacks on stealing the hyperparameters that are learned by a learner. We call our attacks hyperparameter stealing attacks. Our attacks are applicable to a variety of popular machine learning algorithms such as ridge regression, logistic regression, support vector machine, and neural network. We evaluate the effectiveness of our attacks both theoretically and empirically. For instance, we evaluate our attacks on Amazon Machine Learning. Our results demonstrate that our attacks can accurately steal hyperparameters. We also study countermeasures. Our results highlight the need for new defenses against our hyperparameter stealing attacks for certain machine learning algorithms.","2375-1207","978-1-5386-4353-2","10.1109/SP.2018.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8418595","Machine learning;Hyperparameter stealing attack;Machine learning as a service","Linear programming;Biological system modeling;Training;Machine learning;Machine learning algorithms;Testing;Predictive models","","218","4","58","IEEE","26 Jul 2018","","","IEEE","IEEE Conferences"
"Machine Learning Security in Industry: A Quantitative Survey","K. Grosse; L. Bieringer; T. R. Besold; B. Biggio; K. Krombholz","EPFL, Lausanne, Switzerland; QuantPi, Saarbrücken, Germany; Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, Eindhoven, Netherlands; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; CISPA Helmholtz Center of Information Security, Saarbrücken, Germany","IEEE Transactions on Information Forensics and Security","14 Mar 2023","2023","18","","1749","1762","Despite the large body of academic work on machine learning security, little is known about the occurrence of attacks on machine learning systems in the wild. In this paper, we report on a quantitative study with 139 industrial practitioners. We analyze attack occurrence and concern and evaluate statistical hypotheses on factors influencing threat perception and exposure. Our results shed light on real-world attacks on deployed machine learning. On the organizational level, while we find no predictors for threat exposure in our sample, the amount of implement defenses depends on exposure to threats or expected likelihood to become a target. We also provide a detailed analysis of practitioners’ replies on the relevance of individual machine learning attacks, unveiling complex concerns like unreliable decision making, business information leakage, and bias introduction into models. Finally, we find that on the individual level, prior knowledge about machine learning security influences threat perception. Our work paves the way for more research about adversarial machine learning in practice, but yields also insights for regulation and auditing.","1556-6021","","10.1109/TIFS.2023.3251842","Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK), Bundesministerium für Digitalisierung und Wirtschaftsstandort (BMDW), and the Province of Upper Austria in the Frame of the COMET Program Managed by Forschungsförderungsgesellschaft (FFG) in the COMET Module S3AI; Fondazione di Sardegna under the Project TrustML: Towards Machine Learning that Humans Can Trust(grant numbers:CUP: F73C22001320007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057473","Adversarial machine learning;machine learning security;quantitative user study","Security;Organizations;Machine learning;Data models;Training data;Training;Production","","3","","43","IEEE","2 Mar 2023","","","IEEE","IEEE Journals"
"Comparison of Statistical and Machine Learning Techniques for Physical Layer Authentication","L. Senigagliesi; M. Baldi; E. Gambi","Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy","IEEE Transactions on Information Forensics and Security","11 Dec 2020","2021","16","","1506","1521","In this article we consider authentication at the physical layer, in which the authenticator aims at distinguishing a legitimate supplicant from an attacker on the basis of the characteristics of a set of parallel wireless channels, which are affected by time-varying fading. Moreover, the attacker's channel has a spatial correlation with the supplicant's one. In this setting, we assess and compare the performance achieved by different approaches under different channel conditions. We first consider the use of two different statistical decision methods, and we prove that using a large number of references (in the form of channel estimates) affected by different levels of time-varying fading is not beneficial from a security point of view. We then consider classification methods based on machine learning. In order to face the worst case scenario of an authenticator provided with no forged messages during training, we consider one-class classifiers. When instead the training set includes some forged messages, we resort to more conventional binary classifiers, considering the cases in which such messages are either labelled or not. For the latter case, we exploit clustering algorithms to label the training set. The performance of both nearest neighbor (NN) and support vector machine (SVM) classification techniques is evaluated. Through numerical examples, we show that under the same probability of false alarm, one-class classification (OCC) algorithms achieve the lowest probability of missed detection when a small spatial correlation exists between the main channel and the adversary one, while statistical methods are advantageous when the spatial correlation between the two channels is large.","1556-6021","","10.1109/TIFS.2020.3033454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9237955","Clustering;machine learning;physical layer authentication;wireless communications","Authentication;Fading channels;Training;Machine learning;Clustering algorithms;Machine learning algorithms;Protocols","","36","","40","IEEE","23 Oct 2020","","","IEEE","IEEE Journals"
"The Cost of Privacy in Asynchronous Differentially-Private Machine Learning","F. Farokhi; N. Wu; D. Smith; M. A. Kaafar","Department of Electrical and Electronic Engineering, The University of Melbourne, Melbourne, VIC, Australia; Department of Computing, Macquarie University, Sydney, NSW, Australia; CSIRO’s Data61, Eveleigh, NSW, Australia; Department of Computing, Macquarie University, Sydney, NSW, Australia","IEEE Transactions on Information Forensics and Security","4 Feb 2021","2021","16","","2118","2129","We consider training machine learning models using data located on multiple private and geographically-scattered servers with different privacy settings. Due to the distributed nature of the data, communicating with all collaborating private data owners simultaneously may prove challenging or altogether impossible. We consider differentially-private asynchronous algorithms for collaboratively training machine-learning models on multiple private datasets. The asynchronous nature of the algorithms implies that a central learner interacts with the private data owners one-on-one whenever they are available for communication without needing to aggregate query responses to construct gradients of the entire fitness function. Therefore, the algorithm efficiently scales to many data owners. We define the cost of privacy as the difference between the fitness of a privacy-preserving machine-learning model and the fitness of trained machine-learning model in the absence of privacy concerns. We demonstrate that the cost of privacy has an upper bound that is inversely proportional to the combined size of the training datasets squared and the sum of the privacy budgets squared. We validate the theoretical results with experiments on financial and medical datasets. The experiments illustrate that collaboration among more than 10 data owners with at least 10,000 records with privacy budgets greater than or equal to 1 results in a superior machine-learning model in comparison to a model trained in isolation on only one of the datasets, illustrating the value of collaboration and the cost of the privacy. The number of the collaborating datasets can be lowered if the privacy budget is higher.","1556-6021","","10.1109/TIFS.2021.3050603","Optus Macquarie University Cyber Security Hub; Next Generation Technology Funding from the Defense Science and Technology Group; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9319401","Machine learning;differential privacy;stochastic gradient algorithm;asynchronous","Training;Data models;Distributed databases;Biological system modeling;Degradation;Privacy;Machine learning","","6","","41","IEEE","11 Jan 2021","","","IEEE","IEEE Journals"
"Efficient Dropout-Resilient Aggregation for Privacy-Preserving Machine Learning","Z. Liu; J. Guo; K. -Y. Lam; J. Zhao","School of Computer Science and Engineering, Nanyang Technological University, Jurong West, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Jurong West, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Jurong West, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Jurong West, Singapore","IEEE Transactions on Information Forensics and Security","21 Mar 2023","2023","18","","1839","1854","Machine learning (ML) has been widely recognized as an enabler of the global trend of digital transformation. With the increasing adoption of data-hungry machine learning algorithms, personal data privacy has emerged as one of the key concerns that could hinder the success of digital transformation. As such, Privacy-Preserving Machine Learning (PPML) has received much attention of the machine learning community, from academic researchers to industry practitioners to government regulators. However, organizations are faced with the dilemma that, on the one hand, they are encouraged to share data to enhance ML performance, but on the other hand, they could potentially be breaching the relevant data privacy regulations. Practical PPML typically allows multiple participants to individually train their ML models, which are then aggregated to construct a global model in a privacy-preserving manner, e.g., based on multi-party computation or homomorphic encryption. Nevertheless, in most important applications of large-scale PPML, e.g., by aggregating clients’ gradients to update a global model for federated learning, such as consumer behavior modeling of mobile application services, some participants are inevitably resource-constrained mobile devices, which may drop out of the PPML system due to their mobility nature (Yang et al., 2019). Therefore, the resilience of privacy-preserving aggregation has become an important problem to be tackled because of its real-world application potential and impacts. In this paper, we propose a scalable privacy-preserving aggregation scheme that can tolerate dropout by participants at any time, and is secure against both semi-honest and active malicious adversaries by setting proper system parameters. By replacing communication-intensive building blocks with a seed homomorphic pseudo-random generator, and relying on the additive homomorphic property of Shamir secret sharing scheme, our scheme outperforms state-of-the-art schemes by up to  $6.37\times $  in runtime and provides a stronger dropout-resilience. The simplicity of our scheme makes it attractive both for implementation and for further improvements.","1556-6021","","10.1109/TIFS.2022.3163592","National Research Foundation, Singapore, under its Strategic Capability Research Centres Funding Initiative; Singapore Ministry of Education Academic Research Fund(grant numbers:Tier 1 RG24/20,Tier 1 RG97/20,Tier 1 RG90/22,Tier 2 MOE2019-T2-1-176); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9757847","Secure aggregation;privacy-preserving machine learning;dropout-resilience;HPRG","Servers;Protocols;Cryptography;Computational modeling;Privacy;Machine learning;Runtime","","21","","61","IEEE","14 Apr 2022","","","IEEE","IEEE Journals"
"The Value of Collaboration in Convex Machine Learning with Differential Privacy","N. Wu; F. Farokhi; D. Smith; M. A. Kaafar",Macquarie University; CSIRO’s Data61; CSIRO’s Data61; CSIRO’s Data61,"2020 IEEE Symposium on Security and Privacy (SP)","30 Jul 2020","2020","","","304","317","In this paper, we apply machine learning to distributed private data owned by multiple data owners, entities with access to non-overlapping training datasets. We use noisy, differentially-private gradients to minimize the fitness cost of the machine learning model using stochastic gradient descent. We quantify the quality of the trained model, using the fitness cost, as a function of privacy budget and size of the distributed datasets to capture the trade-off between privacy and utility in machine learning. This way, we can predict the outcome of collaboration among privacy-aware data owners prior to executing potentially computationally-expensive machine learning algorithms. Particularly, we show that the difference between the fitness of the trained machine learning model using differentially-private gradient queries and the fitness of the trained machine model in the absence of any privacy concerns is inversely proportional to the size of the training datasets squared and the privacy budget squared. We successfully validate the performance prediction with the actual performance of the proposed privacy-aware learning algorithms, applied to: financial datasets for determining interest rates of loans using regression; and detecting credit card frauds using support vector machines.","2375-1207","978-1-7281-3497-0","10.1109/SP40000.2020.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9152691","Machine learning;Differential privacy;Stochastic gradient algorithm.","Data privacy;Training;Data models;Computational modeling;Prediction algorithms;Privacy;Collaboration","","50","","34","IEEE","30 Jul 2020","","","IEEE","IEEE Conferences"
"Automatic Characterization of Exploitable Faults: A Machine Learning Approach","S. Saha; D. Jap; S. Patranabis; D. Mukhopadhyay; S. Bhasin; P. Dasgupta","Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India; Physical Analysis & Cryptographic Engineering Labs, Nanyang Technical University, Singapore; Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India; Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India; Physical Analysis & Cryptographic Engineering Labs, Nanyang Technical University, Singapore; Department of Computer Science and Engineering, IIT Kharagpur, Kharagpur, India","IEEE Transactions on Information Forensics and Security","31 Oct 2018","2019","14","4","954","968","Characterizing the fault space of a cipher to filter out a set of faults potentially exploitable for fault attacks (FA), is a problem with immense practical value. A quantitative knowledge of the exploitable fault space is desirable in several applications, such as security evaluation, cipher construction and implementation, design, testing of countermeasures, and so on. In this paper, we investigate this problem in the context of block ciphers. The formidable size of the fault space of a block cipher mandates the use of an automation strategy to solve this problem, which should be able to characterize each individual fault instance quickly. On the other hand, the automation strategy is expected to be applicable to most of the block cipher constructions. Existing techniques for automated fault attacks do not satisfy both of these goals simultaneously, and hence are not directly applicable in the context of exploitable fault characterization. In this paper, we present a supervised machine learning assisted automated framework, which successfully addresses both of the criteria mentioned. The key idea is to extrapolate the knowledge of some existing FAs on a cipher to rapidly figure out new attack instances. Experimental validation of this idea on two state-of-the-art block ciphers - PRESENT and LED - establishes that our approach is able to provide fairly good accuracy in identifying exploitable fault instances at a reasonable cost. Utilizing this observation, we propose a statistical framework for exploitable fault space characterization, which can provide an estimate of the success rate of an attacker corresponding to the given fault model and fault location. The framework also returns test vectors leading toward successful attacks. As a potential application, the effect of different S-Boxes on the fault space of a cipher is evaluated utilizing the framework.","1556-6021","","10.1109/TIFS.2018.2868245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8452997","Security;block cipher;fault attack;machine learning","Ciphers;Tools;Mathematical model;Machine learning;Testing","","19","","45","IEEE","31 Aug 2018","","","IEEE","IEEE Journals"
"Android HIV: A Study of Repackaging Malware for Evading Machine-Learning Detection","X. Chen; C. Li; D. Wang; S. Wen; J. Zhang; S. Nepal; Y. Xiang; K. Ren","Faculty of Science, Engineering and Technology, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Hawthorn, VIC, Australia; Data61, CSIRO, Epping, NSW, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Hawthorn, VIC, Australia; Department of Computer Science and Engineering, University at Buffalo, State University of New York, Buffalo, NY, USA","IEEE Transactions on Information Forensics and Security","8 Oct 2019","2020","15","","987","1001","Machine learning-based solutions have been successfully employed for the automatic detection of malware on Android. However, machine learning models lack robustness to adversarial examples, which are crafted by adding carefully chosen perturbations to the normal inputs. So far, the adversarial examples can only deceive detectors that rely on syntactic features (e.g., requested permissions, API calls, etc.), and the perturbations can only be implemented by simply modifying application’s manifest. While recent Android malware detectors rely more on semantic features from Dalvik bytecode rather than manifest, existing attacking/defending methods are no longer effective. In this paper, we introduce a new attacking method that generates adversarial examples of Android malware and evades being detected by the current models. To this end, we propose a method of applying optimal perturbations onto Android APK that can successfully deceive the machine learning detectors. We develop an automated tool to generate the adversarial examples without human intervention. In contrast to existing works, the adversarial examples crafted by our method can also deceive recent machine learning-based detectors that rely on semantic features such as control-flow-graph. The perturbations can also be implemented directly onto APK’s Dalvik bytecode rather than Android manifest to evade from recent detectors. We demonstrate our attack on two state-of-the-art Android malware detection schemes, MaMaDroid and Drebin. Our results show that the malware detection rates decreased from 96% to 0% in MaMaDroid, and from 97% to 0% in Drebin, with just a small number of codes to be inserted into the APK.","1556-6021","","10.1109/TIFS.2019.2932228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8782574","Android malware detection;adversarial machine learning","Malware;Feature extraction;Detectors;Machine learning;Perturbation methods;Semantics;Tools","","174","","39","IEEE","31 Jul 2019","","","IEEE","IEEE Journals"
"Manipulating Machine Learning: Poisoning Attacks and Countermeasures for Regression Learning","M. Jagielski; A. Oprea; B. Biggio; C. Liu; C. Nita-Rotaru; B. Li","Northeastern University, Boston, MA; Northeastern University, Boston, MA; Univ. Cagliary, Cagliary, Italy; UC Berkeley, Berkeley, CA; Northeastern University, Boston, MA; UC Berkeley, Berkeley, CA","2018 IEEE Symposium on Security and Privacy (SP)","26 Jul 2018","2018","","","19","35","As machine learning becomes widely used for automated decisions, attackers have strong incentives to manipulate the results and models generated by machine learning algorithms. In this paper, we perform the first systematic study of poisoning attacks and their countermeasures for linear regression models. In poisoning attacks, attackers deliberately influence the training data to manipulate the results of a predictive model. We propose a theoretically-grounded optimization framework specifically designed for linear regression and demonstrate its effectiveness on a range of datasets and models. We also introduce a fast statistical attack that requires limited knowledge of the training process. Finally, we design a new principled defense method that is highly resilient against all poisoning attacks. We provide formal guarantees about its convergence and an upper bound on the effect of poisoning attacks when the defense is deployed. We evaluate extensively our attacks and defenses on three realistic datasets from health care, loan assessment, and real estate domains.","2375-1207","978-1-5386-4353-2","10.1109/SP.2018.00057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8418594","adversarial machine learning;poisoning attacks;robust linear regression","Training;Linear regression;Machine learning;Training data;Robustness;Data models;Predictive models","","351","","55","IEEE","26 Jul 2018","","","IEEE","IEEE Conferences"
"Drynx: Decentralized, Secure, Verifiable System for Statistical Queries and Machine Learning on Distributed Datasets","D. Froelicher; J. R. Troncoso-Pastoriza; J. S. Sousa; J. -P. Hubaux","Laboratory for Data Security, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Laboratory for Data Security, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Laboratory for Data Security, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Laboratory for Data Security, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland","IEEE Transactions on Information Forensics and Security","10 Apr 2020","2020","15","","3035","3050","Data sharing has become of primary importance in many domains such as big-data analytics, economics and medical research, but remains difficult to achieve when the data are sensitive. In fact, sharing personal information requires individuals’ unconditional consent or is often simply forbidden for privacy and security reasons. In this paper, we propose Drynx, a decentralized system for privacy-conscious statistical analysis on distributed datasets. Drynx relies on a set of computing nodes to enable the computation of statistics such as standard deviation or extrema, and the training and evaluation of machine-learning models on sensitive and distributed data. To ensure data confidentiality and the privacy of the data providers, Drynx combines interactive protocols, homomorphic encryption, zero-knowledge proofs of correctness, and differential privacy. It enables an efficient and decentralized verification of the input data and of all the system’s computations thus provides auditability in a strong adversarial model in which no entity has to be individually trusted. Drynx is highly modular, dynamic and parallelizable. Our evaluation shows that it enables the training of a logistic regression model on a dataset (12 features and 600,000 records) distributed among 12 data providers in less than 2 seconds. The computations are distributed among 6 computing nodes, and Drynx enables the verification of the query execution’s correctness in less than 22 seconds.","1556-6021","","10.1109/TIFS.2020.2976612","Strategic Focal Area Personalized Health and Related Technologies (PHRT) of the ETH Domain(grant numbers:2017-201); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9019831","Decentralized system;distributed datasets;privacy;statistics;machine learning;homomorphic encryption;zero-knowledge proofs;differential privacy","Computational modeling;Machine learning;Encryption;Privacy","","29","","91","IEEE","2 Mar 2020","","","IEEE","IEEE Journals"
